RoomWithObject	RoomWithoutObject	Cue1	Cue2	Alternative1	Alternative2	ExtLure1	ExtLure2	TrialType	OldOrNew
111_01.jpg	111_02.jpg	111_kreis01.png	111_kreis02.png	JPEG\111_01.jpg	JPEG\111_02.jpg	JPEG\296_01.jpg	JPEG\61_01.jpg	1	0
119_01.jpg	119_02.jpg	119_kreis01.png	119_kreis02.png	JPEG\119_01.jpg	JPEG\119_02.jpg	JPEG\51_01.jpg	JPEG\62_02.jpg	1	0
120_01.jpg	120_02.jpg	120_kreis01.png	120_kreis02.png	JPEG\120_01.jpg	JPEG\120_02.jpg	JPEG\258_02.jpg	JPEG\534_02.jpg	1	0
122_01.jpg	122_02.jpg	122_kreis01.png	122_kreis02.png	JPEG\122_01.jpg	JPEG\122_02.jpg	JPEG\62_02.jpg	JPEG\51_01.jpg	1	0
144_01.jpg	144_02.jpg	144_kreis01.png	144_kreis02.png	JPEG\144_01.jpg	JPEG\144_02.jpg	JPEG\543_02.jpg	JPEG\347_01.jpg	1	0
149_01.jpg	149_02.jpg	149_kreis01.png	149_kreis02.png	JPEG\149_01.jpg	JPEG\149_02.jpg	JPEG\647_02.jpg	JPEG\308_02.jpg	1	0
154_01.jpg	154_02.jpg	154_kreis01.png	154_kreis02.png	JPEG\154_01.jpg	JPEG\154_02.jpg	JPEG\522_02.jpg	JPEG\522_01.jpg	1	0
158_01.jpg	158_02.jpg	158_kreis01.png	158_kreis02.png	JPEG\158_01.jpg	JPEG\158_02.jpg	JPEG\90_01.jpg	JPEG\406_02.jpg	1	0
159_01.jpg	159_02.jpg	159_kreis01.png	159_kreis02.png	JPEG\159_01.jpg	JPEG\159_02.jpg	JPEG\502_01.jpg	JPEG\532_01.jpg	1	0
167_01.jpg	167_02.jpg	167_kreis01.png	167_kreis02.png	JPEG\167_01.jpg	JPEG\167_02.jpg	JPEG\523_01.jpg	JPEG\268_01.jpg	1	0
173_01.jpg	173_02.jpg	173_kreis01.png	173_kreis02.png	JPEG\173_01.jpg	JPEG\173_02.jpg	JPEG\530_01.jpg	JPEG\555_02.jpg	1	0
184_01.jpg	184_02.jpg	184_kreis01.png	184_kreis02.png	JPEG\184_01.jpg	JPEG\184_02.jpg	JPEG\635_01.jpg	JPEG\635_02.jpg	1	0
185_01.jpg	185_02.jpg	185_kreis01.png	185_kreis02.png	JPEG\185_01.jpg	JPEG\185_02.jpg	JPEG\375_01.jpg	JPEG\285_02.jpg	1	0
189_01.jpg	189_02.jpg	189_kreis01.png	189_kreis02.png	JPEG\189_01.jpg	JPEG\189_02.jpg	JPEG\635_02.jpg	JPEG\635_01.jpg	1	0
210_01.jpg	210_02.jpg	210_kreis01.png	210_kreis02.png	JPEG\210_01.jpg	JPEG\210_02.jpg	JPEG\347_01.jpg	JPEG\543_02.jpg	1	0
214_01.jpg	214_02.jpg	214_kreis01.png	214_kreis02.png	JPEG\214_01.jpg	JPEG\214_02.jpg	JPEG\127_01.jpg	JPEG\267_02.jpg	1	0
225_01.jpg	225_02.jpg	225_kreis01.png	225_kreis02.png	JPEG\225_01.jpg	JPEG\225_02.jpg	JPEG\61_01.jpg	JPEG\296_01.jpg	1	0
241_01.jpg	241_02.jpg	241_kreis01.png	241_kreis02.png	JPEG\241_01.jpg	JPEG\241_02.jpg	JPEG\285_02.jpg	JPEG\375_01.jpg	1	0
254_01.jpg	254_02.jpg	254_kreis01.png	254_kreis02.png	JPEG\254_01.jpg	JPEG\254_02.jpg	JPEG\313_01.jpg	JPEG\645_01.jpg	1	0
290_01.jpg	290_02.jpg	290_kreis01.png	290_kreis02.png	JPEG\290_01.jpg	JPEG\290_02.jpg	JPEG\645_01.jpg	JPEG\313_01.jpg	1	0
302_01.jpg	302_02.jpg	302_kreis01.png	302_kreis02.png	JPEG\302_01.jpg	JPEG\302_02.jpg	JPEG\532_01.jpg	JPEG\502_01.jpg	1	0
312_01.jpg	312_02.jpg	312_kreis01.png	312_kreis02.png	JPEG\312_01.jpg	JPEG\312_02.jpg	JPEG\406_02.jpg	JPEG\90_01.jpg	1	0
341_01.jpg	341_02.jpg	341_kreis01.png	341_kreis02.png	JPEG\341_01.jpg	JPEG\341_02.jpg	JPEG\534_02.jpg	JPEG\258_02.jpg	1	0
346_01.jpg	346_02.jpg	346_kreis01.png	346_kreis02.png	JPEG\346_01.jpg	JPEG\346_02.jpg	JPEG\268_01.jpg	JPEG\523_01.jpg	1	0
348_01.jpg	348_02.jpg	348_kreis01.png	348_kreis02.png	JPEG\348_01.jpg	JPEG\348_02.jpg	JPEG\461_02.jpg	JPEG\461_01.jpg	1	0
351_01.jpg	351_02.jpg	351_kreis01.png	351_kreis02.png	JPEG\351_01.jpg	JPEG\351_02.jpg	JPEG\640_01.jpg	JPEG\640_02.jpg	1	0
367_01.jpg	367_02.jpg	367_kreis01.png	367_kreis02.png	JPEG\367_01.jpg	JPEG\367_02.jpg	JPEG\162_01.jpg	JPEG\277_02.jpg	1	0
382_01.jpg	382_02.jpg	382_kreis01.png	382_kreis02.png	JPEG\382_01.jpg	JPEG\382_02.jpg	JPEG\453_01.jpg	JPEG\375_02.jpg	1	0
389_01.jpg	389_02.jpg	389_kreis01.png	389_kreis02.png	JPEG\389_01.jpg	JPEG\389_02.jpg	JPEG\88_02.jpg	JPEG\153_02.jpg	1	0
392_01.jpg	392_02.jpg	392_kreis01.png	392_kreis02.png	JPEG\392_01.jpg	JPEG\392_02.jpg	JPEG\394_01.jpg	JPEG\170_01.jpg	1	0
400_01.jpg	400_02.jpg	400_kreis01.png	400_kreis02.png	JPEG\400_01.jpg	JPEG\400_02.jpg	JPEG\573_02.jpg	JPEG\342_02.jpg	1	0
403_01.jpg	403_02.jpg	403_kreis01.png	403_kreis02.png	JPEG\403_01.jpg	JPEG\403_02.jpg	JPEG\375_02.jpg	JPEG\453_01.jpg	1	0
418_01.jpg	418_02.jpg	418_kreis01.png	418_kreis02.png	JPEG\418_01.jpg	JPEG\418_02.jpg	JPEG\619_01.jpg	JPEG\642_02.jpg	1	0
424_01.jpg	424_02.jpg	424_kreis01.png	424_kreis02.png	JPEG\424_01.jpg	JPEG\424_02.jpg	JPEG\640_02.jpg	JPEG\640_01.jpg	1	0
446_01.jpg	446_02.jpg	446_kreis01.png	446_kreis02.png	JPEG\446_01.jpg	JPEG\446_02.jpg	JPEG\273_01.jpg	JPEG\52_01.jpg	1	0
456_01.jpg	456_02.jpg	456_kreis01.png	456_kreis02.png	JPEG\456_01.jpg	JPEG\456_02.jpg	JPEG\297_01.jpg	JPEG\297_02.jpg	1	0
469_01.jpg	469_02.jpg	469_kreis01.png	469_kreis02.png	JPEG\469_01.jpg	JPEG\469_02.jpg	JPEG\170_01.jpg	JPEG\394_01.jpg	1	0
470_01.jpg	470_02.jpg	470_kreis01.png	470_kreis02.png	JPEG\470_01.jpg	JPEG\470_02.jpg	JPEG\612_01.jpg	JPEG\612_02.jpg	1	0
480_01.jpg	480_02.jpg	480_kreis01.png	480_kreis02.png	JPEG\480_01.jpg	JPEG\480_02.jpg	JPEG\612_02.jpg	JPEG\612_01.jpg	1	0
484_01.jpg	484_02.jpg	484_kreis01.png	484_kreis02.png	JPEG\484_01.jpg	JPEG\484_02.jpg	JPEG\153_02.jpg	JPEG\88_02.jpg	1	0
486_01.jpg	486_02.jpg	486_kreis01.png	486_kreis02.png	JPEG\486_01.jpg	JPEG\486_02.jpg	JPEG\342_02.jpg	JPEG\573_02.jpg	1	0
494_01.jpg	494_02.jpg	494_kreis01.png	494_kreis02.png	JPEG\494_01.jpg	JPEG\494_02.jpg	JPEG\207_02.jpg	JPEG\145_02.jpg	1	0
499_01.jpg	499_02.jpg	499_kreis01.png	499_kreis02.png	JPEG\499_01.jpg	JPEG\499_02.jpg	JPEG\114_02.jpg	JPEG\97_02.jpg	1	0
505_01.jpg	505_02.jpg	505_kreis01.png	505_kreis02.png	JPEG\505_01.jpg	JPEG\505_02.jpg	JPEG\267_02.jpg	JPEG\127_01.jpg	1	0
512_01.jpg	512_02.jpg	512_kreis01.png	512_kreis02.png	JPEG\512_01.jpg	JPEG\512_02.jpg	JPEG\330_01.jpg	JPEG\145_01.jpg	1	0
524_01.jpg	524_02.jpg	524_kreis01.png	524_kreis02.png	JPEG\524_01.jpg	JPEG\524_02.jpg	JPEG\642_02.jpg	JPEG\619_01.jpg	1	0
531_01.jpg	531_02.jpg	531_kreis01.png	531_kreis02.png	JPEG\531_01.jpg	JPEG\531_02.jpg	JPEG\145_01.jpg	JPEG\330_01.jpg	1	0
537_01.jpg	537_02.jpg	537_kreis01.png	537_kreis02.png	JPEG\537_01.jpg	JPEG\537_02.jpg	JPEG\97_02.jpg	JPEG\114_02.jpg	1	0
552_01.jpg	552_02.jpg	552_kreis01.png	552_kreis02.png	JPEG\552_01.jpg	JPEG\552_02.jpg	JPEG\645_02.jpg	JPEG\605_02.jpg	1	0
561_01.jpg	561_02.jpg	561_kreis01.png	561_kreis02.png	JPEG\561_01.jpg	JPEG\561_02.jpg	JPEG\145_02.jpg	JPEG\207_02.jpg	1	0
