RoomWithObject	RoomWithoutObject	Cue1	Cue2	Alternative1	Alternative2	ExtLure1	ExtLure2	TrialType	OldOrNew
51_01.jpg	51_02.jpg	51_kreis_01.png	51_kreis_02.png	JPEG\51_01.jpg	JPEG\51_02.jpg	JPEG\313_01.jpg	JPEG\313_02.jpg	1	1
52_01.jpg	52_02.jpg	52_kreis_01.png	52_kreis_02.png	JPEG\52_01.jpg	JPEG\52_02.jpg	JPEG\314_01.jpg	JPEG\314_02.jpg	1	1
53_01.jpg	53_02.jpg	53_kreis_01.png	53_kreis_02.png	JPEG\53_01.jpg	JPEG\53_02.jpg	JPEG\315_01.jpg	JPEG\315_02.jpg	1	1
54_01.jpg	54_02.jpg	54_kreis_01.png	54_kreis_02.png	JPEG\54_01.jpg	JPEG\54_02.jpg	JPEG\316_01.jpg	JPEG\316_02.jpg	1	1
55_01.jpg	55_02.jpg	55_kreis_01.png	55_kreis_02.png	JPEG\55_01.jpg	JPEG\55_02.jpg	JPEG\317_01.jpg	JPEG\317_02.jpg	1	1
56_01.jpg	56_02.jpg	56_kreis_01.png	56_kreis_02.png	JPEG\56_01.jpg	JPEG\56_02.jpg	JPEG\318_01.jpg	JPEG\318_02.jpg	1	1
57_01.jpg	57_02.jpg	57_kreis_01.png	57_kreis_02.png	JPEG\57_01.jpg	JPEG\57_02.jpg	JPEG\319_01.jpg	JPEG\319_02.jpg	1	1
58_01.jpg	58_02.jpg	58_kreis_01.png	58_kreis_02.png	JPEG\58_01.jpg	JPEG\58_02.jpg	JPEG\320_01.jpg	JPEG\320_02.jpg	1	1
59_01.jpg	59_02.jpg	59_kreis_01.png	59_kreis_02.png	JPEG\59_01.jpg	JPEG\59_02.jpg	JPEG\321_01.jpg	JPEG\321_02.jpg	1	1
60_01.jpg	60_02.jpg	60_kreis_01.png	60_kreis_02.png	JPEG\60_01.jpg	JPEG\60_02.jpg	JPEG\322_01.jpg	JPEG\322_02.jpg	1	1
61_01.jpg	61_02.jpg	61_kreis_01.png	61_kreis_02.png	JPEG\61_01.jpg	JPEG\61_02.jpg	JPEG\323_01.jpg	JPEG\323_02.jpg	1	1
62_01.jpg	62_02.jpg	62_kreis_01.png	62_kreis_02.png	JPEG\62_01.jpg	JPEG\62_02.jpg	JPEG\324_01.jpg	JPEG\324_02.jpg	1	1
63_01.jpg	63_02.jpg	63_kreis_01.png	63_kreis_02.png	JPEG\63_01.jpg	JPEG\63_02.jpg	JPEG\325_01.jpg	JPEG\325_02.jpg	1	1
64_01.jpg	64_02.jpg	64_kreis_01.png	64_kreis_02.png	JPEG\64_01.jpg	JPEG\64_02.jpg	JPEG\326_01.jpg	JPEG\326_02.jpg	1	1
65_01.jpg	65_02.jpg	65_kreis_01.png	65_kreis_02.png	JPEG\65_01.jpg	JPEG\65_02.jpg	JPEG\327_01.jpg	JPEG\327_02.jpg	1	1
66_01.jpg	66_02.jpg	66_kreis_01.png	66_kreis_02.png	JPEG\66_01.jpg	JPEG\66_02.jpg	JPEG\328_01.jpg	JPEG\328_02.jpg	1	1
67_01.jpg	67_02.jpg	67_kreis_01.png	67_kreis_02.png	JPEG\67_01.jpg	JPEG\67_02.jpg	JPEG\329_01.jpg	JPEG\329_02.jpg	1	1
68_01.jpg	68_02.jpg	68_kreis_01.png	68_kreis_02.png	JPEG\68_01.jpg	JPEG\68_02.jpg	JPEG\330_01.jpg	JPEG\330_02.jpg	1	1
70_01.jpg	70_02.jpg	70_kreis_01.png	70_kreis_02.png	JPEG\70_01.jpg	JPEG\70_02.jpg	JPEG\331_01.jpg	JPEG\331_02.jpg	1	1
71_01.jpg	71_02.jpg	71_kreis_01.png	71_kreis_02.png	JPEG\71_01.jpg	JPEG\71_02.jpg	JPEG\332_01.jpg	JPEG\332_02.jpg	1	1
72_01.jpg	72_02.jpg	72_kreis_01.png	72_kreis_02.png	JPEG\72_01.jpg	JPEG\72_02.jpg	JPEG\333_01.jpg	JPEG\333_02.jpg	1	1
73_01.jpg	73_02.jpg	73_kreis_01.png	73_kreis_02.png	JPEG\73_01.jpg	JPEG\73_02.jpg	JPEG\334_01.jpg	JPEG\334_02.jpg	1	1
74_01.jpg	74_02.jpg	74_kreis_01.png	74_kreis_02.png	JPEG\74_01.jpg	JPEG\74_02.jpg	JPEG\335_01.jpg	JPEG\335_02.jpg	1	1
75_01.jpg	75_02.jpg	75_kreis_01.png	75_kreis_02.png	JPEG\75_01.jpg	JPEG\75_02.jpg	JPEG\336_01.jpg	JPEG\336_02.jpg	1	1
76_01.jpg	76_02.jpg	76_kreis_01.png	76_kreis_02.png	JPEG\76_01.jpg	JPEG\76_02.jpg	JPEG\337_01.jpg	JPEG\337_02.jpg	1	1
77_01.jpg	77_02.jpg	77_kreis_01.png	77_kreis_02.png	JPEG\77_01.jpg	JPEG\77_02.jpg	JPEG\338_01.jpg	JPEG\338_02.jpg	1	1
78_01.jpg	78_02.jpg	78_kreis_01.png	78_kreis_02.png	JPEG\78_01.jpg	JPEG\78_02.jpg	JPEG\339_01.jpg	JPEG\339_02.jpg	1	1
79_01.jpg	79_02.jpg	79_kreis_01.png	79_kreis_02.png	JPEG\79_01.jpg	JPEG\79_02.jpg	JPEG\340_01.jpg	JPEG\340_02.jpg	1	1
80_01.jpg	80_02.jpg	80_kreis_01.png	80_kreis_02.png	JPEG\80_01.jpg	JPEG\80_02.jpg	JPEG\602_01.jpg	JPEG\602_02.jpg	1	1
