EmoPics	TrialType	OldOrNew
111.jpg	0	3
112.jpg	0	3
113.jpg	0	3
114.jpg	0	3
115.jpg	0	3
116.jpg	0	3
117.jpg	0	3
118.jpg	0	3
119.jpg	0	3
120.jpg	0	3
121.jpg	0	3
122.jpg	0	3
123.jpg	0	3
124.jpg	0	3
125.jpg	0	3
126.jpg	0	3
127.jpg	0	3
128.jpg	0	3
129.jpg	0	3
130.jpg	0	3
131.jpg	0	3
132.jpg	0	3
133.jpg	0	3
134.jpg	0	3
135.jpg	0	3
136.jpg	0	3
137.jpg	0	3
138.jpg	0	3
139.jpg	0	3
140.jpg	0	3
111.jpg	0	3
112.jpg	0	3
113.jpg	0	3
114.jpg	0	3
115.jpg	0	3
116.jpg	0	3
117.jpg	0	3
118.jpg	0	3
119.jpg	0	3
120.jpg	0	3
121.jpg	0	3
122.jpg	0	3
123.jpg	0	3
124.jpg	0	3
125.jpg	0	3
126.jpg	0	3
127.jpg	0	3
128.jpg	0	3
129.jpg	0	3
130.jpg	0	3
131.jpg	0	3
132.jpg	0	3
133.jpg	0	3
134.jpg	0	3
135.jpg	0	3
136.jpg	0	3
137.jpg	0	3
138.jpg	0	3
139.jpg	0	3
140.jpg	0	3
207.jpg	1	3
208.jpg	1	3
209.jpg	1	3
210.jpg	1	3
211.jpg	1	3
212.jpg	1	3
213.jpg	1	3
214.jpg	1	3
215.jpg	1	3
216.jpg	1	3
217.jpg	1	3
218.jpg	1	3
219.jpg	1	3
220.jpg	1	3
221.jpg	1	3
222.jpg	1	3
223.jpg	1	3
224.jpg	1	3
225.jpg	1	3
226.jpg	1	3
227.jpg	1	3
228.jpg	1	3
229.jpg	1	3
230.jpg	1	3
231.jpg	1	3
232.jpg	1	3
233.jpg	1	3
234.jpg	1	3
235.jpg	1	3
236.jpg	1	3
207.jpg	1	3
208.jpg	1	3
209.jpg	1	3
210.jpg	1	3
211.jpg	1	3
212.jpg	1	3
213.jpg	1	3
214.jpg	1	3
215.jpg	1	3
216.jpg	1	3
217.jpg	1	3
218.jpg	1	3
219.jpg	1	3
220.jpg	1	3
221.jpg	1	3
222.jpg	1	3
223.jpg	1	3
224.jpg	1	3
225.jpg	1	3
226.jpg	1	3
227.jpg	1	3
228.jpg	1	3
229.jpg	1	3
230.jpg	1	3
231.jpg	1	3
232.jpg	1	3
233.jpg	1	3
234.jpg	1	3
235.jpg	1	3
236.jpg	1	3
001.jpg	99	4
002.jpg	99	4
003.jpg	99	4
004.jpg	99	4
005.jpg	99	4
006.jpg	99	4
007.jpg	99	4
008.jpg	99	4
009.jpg	99	4
010.jpg	99	4
011.jpg	99	4
012.jpg	99	4
013.jpg	99	4
014.jpg	99	4
015.jpg	99	4
016.jpg	99	4
017.jpg	99	4
018.jpg	99	4
019.jpg	99	4
020.jpg	99	4
021.jpg	99	4
022.jpg	99	4
023.jpg	99	4
024.jpg	99	4
025.jpg	99	4
026.jpg	99	4
027.jpg	99	4
028.jpg	99	4
029.jpg	99	4
030.jpg	99	4
031.jpg	99	4
032.jpg	99	4
033.jpg	99	4
034.jpg	99	4
035.jpg	99	4
036.jpg	99	4
037.jpg	99	4
038.jpg	99	4
039.jpg	99	4
040.jpg	99	4
041.jpg	99	4
042.jpg	99	4
043.jpg	99	4
044.jpg	99	4
045.jpg	99	4
046.jpg	99	4
047.jpg	99	4
048.jpg	99	4
049.jpg	99	4
050.jpg	99	4
051.jpg	99	4
052.jpg	99	4
053.jpg	99	4
054.jpg	99	4
055.jpg	99	4
056.jpg	99	4
057.jpg	99	4
058.jpg	99	4
059.jpg	99	4
060.jpg	99	4
061.jpg	99	4
062.jpg	99	4
063.jpg	99	4
064.jpg	99	4
065.jpg	99	4
066.jpg	99	4
067.jpg	99	4
068.jpg	99	4
069.jpg	99	4
070.jpg	99	4
071.jpg	99	4
072.jpg	99	4
073.jpg	99	4
074.jpg	99	4
075.jpg	99	4
076.jpg	99	4
077.jpg	99	4
078.jpg	99	4
079.jpg	99	4
080.jpg	99	4
081.jpg	99	4
082.jpg	99	4
083.jpg	99	4
084.jpg	99	4
085.jpg	99	4
086.jpg	99	4
087.jpg	99	4
088.jpg	99	4
089.jpg	99	4
090.jpg	99	4
091.jpg	99	4
092.jpg	99	4
093.jpg	99	4
094.jpg	99	4
095.jpg	99	4
096.jpg	99	4
097.jpg	99	4
098.jpg	99	4
099.jpg	99	4
100.jpg	99	4
101.jpg	99	4
102.jpg	99	4
103.jpg	99	4
104.jpg	99	4
105.jpg	99	4
106.jpg	99	4
107.jpg	99	4
108.jpg	99	4
109.jpg	99	4
110.jpg	99	4
237.jpg	99	4
238.jpg	99	4
239.jpg	99	4
240.jpg	99	4
241.jpg	99	4
242.jpg	99	4
243.jpg	99	4
244.jpg	99	4
245.jpg	99	4
246.jpg	99	4
